run_id,lp_to_pe_latency_us,lt_to_pe_latency_us,pe_to_book_latency_us,run_set,seed,duration_s,pnl_realised,pnl_unrealised,pnl_total,fill_rate,fill_count,spread_capture_mean,position_std,hedge_count,latency_p99_ns
64,100,0,0,lp_only,45,60,1209,12,1221.0000,31.8500,1911,0.11,6.04,0,100458
65,500,0,0,lp_only,45,60,1347,22,1369.0000,31.8667,1912,0.12,6.04,0,500250
66,1000,0,0,lp_only,45,60,1528,3,1531.0000,32.1000,1926,0.13,5.93,0,1000209
67,5000,0,0,lp_only,45,60,1538,18,1556.0000,31.9333,1916,0.12,6.08,0,5000250
68,10000,0,0,lp_only,45,60,1324,0,1324.0000,31.7833,1907,0.14,5.84,0,10000250
69,0,100,0,lt_only,45,60,1255,12,1267.0000,32.2667,1936,0.11,6.05,0,9042
70,0,500,0,lt_only,45,60,1465,12,1477.0000,32.2500,1935,0.14,5.87,0,1875
71,0,1000,0,lt_only,45,60,1254,4,1258.0000,31.7833,1907,0.12,5.83,0,13375
72,0,5000,0,lt_only,45,60,1771,12,1783.0000,31.9000,1914,0.12,5.84,0,7292
73,0,10000,0,lt_only,45,60,1326,5,1331.0000,32.0500,1923,0.11,5.91,0,7584
74,0,0,100,pe_only,45,60,1362,20,1382.0000,32.1500,1929,0.10,5.87,0,250
75,0,0,500,pe_only,45,60,1235,12,1247.0000,31.7000,1902,0.09,5.90,0,250
76,0,0,1000,pe_only,45,60,1060,21,1081.0000,31.6667,1900,0.06,6.11,0,250
77,0,0,5000,pe_only,45,60,714,12,726.0000,32.1167,1927,-0.11,6.59,0,250
78,0,0,10000,pe_only,45,60,477,33,510.0000,31.7667,1906,-0.20,7.12,0,1039981042
79,100,100,100,combined,45,60,1423,6,1429.0000,32.2667,1936,0.12,5.99,0,100291
80,500,500,500,combined,45,60,1243,12,1255.0000,31.6833,1901,0.05,6.01,0,500250
81,1000,1000,1000,combined,45,60,1240,21,1261.0000,31.7333,1904,0.04,6.14,0,1000250
82,5000,5000,5000,combined,45,60,649,16,665.0000,31.4833,1889,-0.11,6.54,0,5000250
83,10000,10000,10000,combined,45,60,81,24,105.0000,31.1333,1868,-0.26,7.12,0,10000250
84,0,0,0,baseline,46,60,1226,0,1226.0000,32.9167,1975,0.10,6.14,0,250
85,100,0,0,lp_only,46,60,1053,0,1053.0000,32.7333,1964,0.09,6.07,0,102084
86,500,0,0,lp_only,46,60,1125,17,1142.0000,32.6167,1957,0.09,6.08,0,500250
87,1000,0,0,lp_only,46,60,1013,-7,1006.0000,32.5000,1950,0.07,6.20,0,1000250
88,5000,0,0,lp_only,46,60,960,7,967.0000,32.3000,1938,0.09,6.03,0,5000250
89,10000,0,0,lp_only,46,60,1129,-7,1122.0000,32.4500,1947,0.10,5.95,0,10000250
90,0,100,0,lt_only,46,60,1132,0,1132.0000,32.7167,1963,0.09,6.06,0,2625
91,0,500,0,lt_only,46,60,1094,-14,1080.0000,32.6167,1957,0.08,6.11,0,11375
92,0,1000,0,lt_only,46,60,1094,0,1094.0000,32.3167,1939,0.09,6.11,0,7917
93,0,5000,0,lt_only,46,60,717,-21,696.0000,32.1833,1931,0.07,5.96,0,250
94,0,10000,0,lt_only,46,60,1085,-8,1077.0000,32.4500,1947,0.07,5.92,0,4959
95,0,0,100,pe_only,46,60,1089,0,1089.0000,32.7000,1962,0.09,6.09,0,250
96,0,0,500,pe_only,46,60,941,0,941.0000,32.3500,1941,0.01,6.23,0,250
97,0,0,1000,pe_only,46,60,796,0,796.0000,32.5667,1954,-0.05,6.31,0,250
98,0,0,5000,pe_only,46,60,179,0,179.0000,32.3333,1940,-0.17,6.80,0,250
99,0,0,10000,pe_only,46,60,-179,12,-167.0000,31.6000,1896,-0.32,7.47,0,250
100,100,100,100,combined,46,60,1294,-9,1285.0000,32.2500,1935,0.06,6.16,0,100250
101,500,500,500,combined,46,60,1163,16,1179.0000,32.4333,1946,-0.01,6.30,0,500250
102,1000,1000,1000,combined,46,60,877,17,894.0000,32.4500,1947,-0.01,6.32,0,1001500
103,5000,5000,5000,combined,46,60,413,7,420.0000,32.4833,1949,-0.16,6.82,0,5000333
104,10000,10000,10000,combined,46,60,-536,12,-524.0000,31.4500,1887,-0.33,7.52,0,10000250
